- 0x0805b008 Free 92872 was never alloc'd 0xb7df9fc1

Memory not freed:
-----------------
   Address     Size     Caller
0x0806ac20      0x8  at 0xb79435c0
0x0806ac30     0x21  at 0xb79430ed
0x0806ac58     0x30  at 0xb7943613
0x0806ac90     0x18  at 0xb7943669
0x0806acb0     0x10  at 0xb79436d8
0x0806acc8      0x8  at 0xb79435c0
0x0806acd8     0x21  at 0xb79430ed
0x0806ad00     0x30  at 0xb7943613
0x0806ad38     0x18  at 0xb7943669
0x0806ad58     0x10  at 0xb79436d8
0x0806ad70      0x8  at 0xb79435c0
0x0806ad80     0x21  at 0xb79430ed
0x0806ada8     0x30  at 0xb7943613
0x0806ade0     0x18  at 0xb7943669
0x0806ae00     0x10  at 0xb79436d8
0x0806ae18      0x8  at 0xb79435c0
0x0806ae28     0x21  at 0xb79430ed
0x0806ae50     0x30  at 0xb7943613
0x0806ae88     0x18  at 0xb7943669
0x0806aea8     0x10  at 0xb79436d8
0x0806aec0      0x8  at 0xb79435c0
0x0806aed0     0x21  at 0xb79430ed
0x0806aef8     0x30  at 0xb7943613
0x0806af30     0x18  at 0xb7943669
0x0806af50     0x10  at 0xb79436d8
0x0806af68      0x8  at 0xb79435c0
0x0806af78     0x21  at 0xb79430ed
0x0806afa0     0x30  at 0xb7943613
0x0806afd8     0x18  at 0xb7943669
0x0806aff8     0x10  at 0xb79436d8
0x0806b010      0x8  at 0xb79435c0
0x0806b020     0x21  at 0xb79430ed
0x0806b048     0x30  at 0xb7943613
0x0806b080     0x18  at 0xb7943669
0x0806b0a0     0x10  at 0xb79436d8
0x0806b0b8      0x8  at 0xb79435c0
0x0806b0c8     0x21  at 0xb79430ed
0x0806b0f0     0x30  at 0xb7943613
0x0806b128     0x18  at 0xb7943669
0x0806b148     0x10  at 0xb79436d8
0x0806b160      0x8  at 0xb79435c0
0x0806b170     0x21  at 0xb79430ed
0x0806b198     0x30  at 0xb7943613
0x0806b1d0     0x18  at 0xb7943669
0x0806b1f0     0x10  at 0xb79436d8
0x0806b208      0x8  at 0xb79435c0
0x0806b218     0x21  at 0xb79430ed
0x0806b240     0x30  at 0xb7943613
0x0806b278     0x18  at 0xb7943669
0x0806b298     0x10  at 0xb79436d8
0x0806b2b0      0x8  at 0xb79435c0
0x0806b2c0     0x21  at 0xb79430ed
0x0806b2e8     0x30  at 0xb7943613
0x0806b320      0xf  at 0xb7943669
0x0806b338      0x8  at 0xb79435c0
0x0806b348     0x20  at 0xb79430ed
0x0806b370     0x21  at 0xb79430ed
0x0806b398      0xb  at 0xb79432be
0x0806b3a8     0x21  at 0xb79430ed
0x0806b3d0      0xb  at 0xb79432be
0x0806b3e0     0x30  at 0xb7943613
0x0806b418     0x11  at 0xb7943669
0x0806b430      0x7  at 0xb79436d8
0x0806b440      0x8  at 0xb79435c0
0x0806b450     0x21  at 0xb79430ed
0x0806b478      0x7  at 0xb79432be
0x0806b488     0x30  at 0xb7943613
0x0806b4c0     0x10  at 0xb7943669
0x0806b4d8      0x8  at 0xb79436d8
0x0806b4e8      0x8  at 0xb79435c0
0x0806b4f8     0x21  at 0xb79430ed
0x0806b520     0x30  at 0xb7943613
0x0806b558     0x10  at 0xb7943669
0x0806b570      0x8  at 0xb79436d8
0x0806b580      0x8  at 0xb79435c0
0x0806b590     0x21  at 0xb79430ed
0x0806b5b8     0x30  at 0xb7943613
0x0806b5f0     0x10  at 0xb7943669
0x0806b608      0x8  at 0xb79436d8
0x0806b618      0x8  at 0xb79435c0
0x0806b628     0x21  at 0xb79430ed
0x0806b650     0x30  at 0xb7943613
0x0806b688     0x10  at 0xb7943669
0x0806b6a0      0x8  at 0xb79436d8
0x0806b6b0      0x8  at 0xb79435c0
0x0806b6c0     0x21  at 0xb79430ed
0x0806b6e8     0x20  at 0xb7943c8c
0x0806b710     0x20  at 0xb7943c8c
0x0806b738     0x20  at 0xb7943c8c
0x0806b760     0x20  at 0xb7943c8c
0x0806b788      0x2  at 0xb7946ca8
0x0806b798     0x20  at 0xb7943c8c
0x0806b7c0      0x8  at 0xb7944602
0x0806b7d0      0x8  at 0xb7947644
0x0806b7e0      0x8  at 0xb7944602
0x0806b7f0      0x7  at 0xb79445b2
0x0806b800      0x8  at 0xb7944602
0x0806b810      0xd  at 0xb79445b2
0x0806b828     0x14  at 0xb79446ee
0x0806b840      0xc  at 0xb7944741
0x0806b850     0x11  at 0xb7944943
0x0806b868      0x8  at 0xb7944602
0x0806b878      0xd  at 0xb79445b2
0x0806b890     0x14  at 0xb79446ee
0x0806b8a8      0xc  at 0xb7944741
0x0806b8b8     0x11  at 0xb7944943
0x0806b8d0     0x14  at 0xb79446ee
0x0806b8e8      0x4  at 0xb79445b2
0x0806b8f8     0x14  at 0xb79446ee
0x0806b918    0x130  at 0xb794565e
0x0806ba50     0x14  at 0xb7945700
0x0806ba80    0x800  at 0xb79453ef
0x0806c288     0x30  at 0xb79475f9
0x0806c2c0     0x30  at 0xb79475f9
0x0806c2f8      0x4  at 0xb7949059
0x0806c308     0x20  at 0xb7943c8c
0x0806c330     0x20  at 0xb7943c8c
0x0806c358     0x20  at 0xb7943c8c
0x0806c380     0x20  at 0xb7943c8c
0x0806c3a8     0x20  at 0xb7943c8c
0x0806c3d0     0x20  at 0xb7943c8c
0x0806c3f8     0x20  at 0xb7943c8c
0x0806c420     0x20  at 0xb7943c8c
0x0806c448     0x20  at 0xb7943c8c
0x0806c470     0x20  at 0xb7943c8c
0x0806c498     0x20  at 0xb7943c8c
0x0806c4c0     0x20  at 0xb7943c8c
0x0806c4e8     0x20  at 0xb7943c8c
0x0806c510     0x20  at 0xb7943c8c
0x0806c538     0x20  at 0xb7943c8c
0x0806c560     0x20  at 0xb7943c8c
0x0806c588     0x20  at 0xb7943c8c
0x0806c5b0     0x20  at 0xb7943c8c
0x0806c5d8     0x20  at 0xb7943c8c
0x0806c600     0x20  at 0xb7943c8c
0x0806c628     0x20  at 0xb7943c8c
0x0806c650     0x20  at 0xb7943c8c
0x0806c678      0xc  at 0xb7950a25
0x0806c6b8     0x26  at 0xb7f78dd5
0x0806c6e8    0x26e  at 0xb7f7b61b
0x0806c960     0x26  at 0xb7f7b88e
0x0806c990     0x3c  at 0xb7f7d958
0x0806c9d0     0x60  at 0xb7f80395
0x0806ca90      0xc  at 0xb7944741
0x0806caa0     0x19  at 0xb7944943
0x0806cac0     0x14  at 0xb79446ee
0x0806cad8      0xc  at 0xb7944741
0x0806cae8      0xe  at 0xb7944943
0x0806cb00      0x8  at 0xb7944602
0x0806cb10      0x8  at 0xb7944602
0x0806cb20      0x2  at 0xb79445b2
0x0806cb30      0xc  at 0xb7944741
0x0806cb40      0xb  at 0xb7944943
0x0806cb70      0x6  at 0xb79445b2
0x0806cb80     0x14  at 0xb79446ee
0x0806cb98      0xc  at 0xb7944741
0x0806cba8     0x16  at 0xb7944943
0x0806cbc8     0x14  at 0xb79446ee
0x0806cbe0      0x8  at 0xb7944602
0x0806cbf0      0xb  at 0xb79445b2
0x0806cc00     0x14  at 0xb79446ee
0x0806cc18      0xc  at 0xb7944741
0x0806cc28     0x11  at 0xb7944943
0x0806cc40      0x8  at 0xb7944602
0x0806cc50      0x2  at 0xb79445b2
0x0806cc60     0x14  at 0xb79446ee
0x0806cc78      0xc  at 0xb7944741
0x0806cc88      0xe  at 0xb7944943
0x0806cca0      0x8  at 0xb7944602
0x0806ccb0      0x5  at 0xb79445b2
0x0806ccc0     0x14  at 0xb79446ee
0x0806ccd8      0xc  at 0xb7944741
0x0806cce8      0xd  at 0xb7944943
0x0806cd00      0x8  at 0xb7944602
0x0806cd10      0x5  at 0xb79445b2
0x0806cd20     0x14  at 0xb79446ee
0x0806cd38      0xc  at 0xb7944741
0x0806cd48     0x14  at 0xb7944943
0x0806cd60      0x4  at 0xb7949059
0x0806cd70      0x7  at 0xb794a450
0x0806cd80      0x8  at 0xb7944602
0x0806cd90      0xb  at 0xb79445b2
0x0806cda0      0xc  at 0xb7944741
0x0806cdb0      0x9  at 0xb7944943
0x0806cdc0      0x8  at 0xb7944602
0x0806cdd0      0x2  at 0xb79445b2
0x0806cde0     0x14  at 0xb79446ee
0x0806cdf8      0xc  at 0xb7944741
0x0806ce08      0xb  at 0xb7944943
0x0806ce18      0x8  at 0xb7944602
0x0806ce28      0xb  at 0xb79445b2
0x0806ce38     0x14  at 0xb79446ee
0x0806ce50      0xc  at 0xb7944741
0x0806ce60     0x10  at 0xb7944943
0x0806ce78      0x8  at 0xb7944602
0x0806ce88      0xd  at 0xb79445b2
0x0806cea0     0x14  at 0xb79446ee
0x0806ceb8      0xc  at 0xb7944741
0x0806cec8     0x10  at 0xb7944943
0x0806cee0      0x8  at 0xb7944602
0x0806cef0      0xb  at 0xb79445b2
0x0806cf00     0x14  at 0xb79446ee
0x0806cf18      0xc  at 0xb7944741
0x0806cf28      0x9  at 0xb7944943
0x0806cf38      0x8  at 0xb7944602
0x0806cf48      0x2  at 0xb79445b2
0x0806cf58     0x14  at 0xb79446ee
0x0806cf70      0xc  at 0xb7944741
0x0806cf80      0xb  at 0xb7944943
0x0806cf90      0x8  at 0xb7944602
0x0806cfa0      0xb  at 0xb79445b2
0x0806cfb0     0x14  at 0xb79446ee
0x0806cfc8      0xc  at 0xb7944741
0x0806cfd8     0x10  at 0xb7944943
0x0806cff0      0x8  at 0xb7944602
0x0806d000      0xd  at 0xb79445b2
0x0806d018     0x14  at 0xb79446ee
0x0806d030      0xc  at 0xb7944741
0x0806d040     0x10  at 0xb7944943
0x0806d688      0x4  at 0xb78e8d53
0x0806d698      0x4  at 0xb78e8d53
0x0806d718     0x19  at 0xb7f7b88e
0x0806d8b0    0x258  at 0xb7f7b61b
0x0806db10    0x257  at 0xb7f7b61b
0x0806dd70     0x4c  at 0xb7f7d958
0x0806ddc0     0x70  at 0xb7f80395
0x0806de38     0x40  at 0xb7f80395
0x0806de80     0x20  at 0xb7f82cff
0x0806dea8     0x40  at 0xb7f82c70
0x0806def0     0x40  at 0xb7f82c70
0x0806df38     0x40  at 0xb7f82c70
0x0806eeb0     0x14  at 0xb7b54afa
0x0806eec8      0x8  at 0xb7ef7f84
0x0806eed8     0x24  at 0xb7b4ba19
0x0806ef00      0x8  at 0xb7b505e3
0x0806ef10     0x14  at 0xb7b50619
0x0806ef28      0x2  at 0xb7c4f980
0x0806ef38     0x24  at 0xb7b4ba19
0x0806ef60     0x24  at 0xb7b4ba19
0x0806ef88      0x7  at 0xb7b4b4c4
0x0806ef98      0x6  at 0xb7b4b4c4
0x0806efa8     0x1a  at 0xb7c4f980
0x0806efc8     0x18  at 0xb7b4b4c4
0x0806efe8     0x34  at 0xb7f7d958
0x0806f020     0x24  at 0xb7b4ba19
0x0806f048      0xd  at 0xb7b4b4c4
0x0806f060     0x24  at 0xb7b4ba19
0x0806f088      0xd  at 0xb7b4b4c4
